item_id,description,item_class,retail_1,last_unit_cost,category
1436,ANGLE WIZ T RAIL stair brkt 4,Non-stock item,39.26,18.45,other
1460,2x3-1/2 ANGLE WIZ Rail angle b,Non-stock item,39.26,18.45,other
1461,ANGLE WIZ T Rail angle brkt le,Non-stock item,43.62,20.5,other
152RG4,2 RAIL 4' GATE 1-1/2 x 5-1/2,Non-stock item,164.36,57.18,gate
152RG6,2 RAIL 6' GATE 1-1/2 x 5-1/2,Non-stock item,177.72,63.86,gate
152RG8,2 RAIL 8' GATE 1-1/2 x 5-1/2,Non-stock item,191.08,70.54,gate
153RG4,3 RAIL 4' GATE 1-1/2 x 5-1/2,Non-stock item,190.98,70.49,gate
153RG6,3 RAIL 6' GATE 1-1/2 x 5-1/2,Non-stock item,211.02,80.51,gate
153RG8,3 RAIL 8' GATE 1-1/2 x 5-1/2,Non-stock item,231.06,90.53,gate
154RG4,4 RAIL 4' GATE 1-1/2 x 5-1/2,Non-stock item,217.6,83.8,gate
154RG6,4 RAIL 6' GATE 1-1/2 x 5-1/2,Non-stock item,244.32,97.16,gate
154RG8,4 RAIL 8' GATE 1-1/2 x 5-1/2,Non-stock item,271.04,110.52,gate
1589,12 watt power supply w/photo c,Non-stock item,84.2,42.1,other
1590,50 watt power supply w/photo c,Non-stock item,270.0,135.0,other
1598w,led stair/side light w/2covers,Non-stock item,13.16,6.58,other
1599W,Led dome side light white colo,Non-stock item,57.5,11.5,other
1626,2' led harness,Non-stock item,6.43,2.57,other
16-2STRAND,16-2 stranded low voltage land,Non-stock item,0.34,0.17,other
1645,Cape May downward low voltage,Non-stock item,35.6,17.8,other
16-4STRAND,16/4 str Audio CM/CL3 Oxy Free,Non-stock item,205.05,133.28,other
1652,solar dome side light,Non-stock item,18.44,9.22,other
1656,5 in Neptune Solar post cap wi,Non-stock item,44.7,22.35,post
1661,4 in haven scalloped low volta,Non-stock item,62.0,31.0,other
18DRB,DELUX CANE BOLT 18 in.,Non-stock item,31.25,12.5,gate
18RWRM,3/16 wire rope clip malleable,Non-stock item,0.63,0.41,chain_link
1-CC461-01,1-CC461-01,Description only,0.0,,other
2004R,4x6 Jerith style 200 5/8 pkt,Non-stock item,159.26,86.0,aluminum
20054R,54x6 Jerith style 200 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2005R,5x6 Jerith style 200 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2006R,6x6 Jerith style 200 5/8 pkt,Non-stock item,243.7,131.6,aluminum
2024R,4x6 Jerith style 202 5/8 pkt,Non-stock item,159.26,86.0,aluminum
20254R,54x6 Jerith style 202 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2025R,5x6 Jerith style 202 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2026R,6x6 Jerith style 202 5/8 pkt,Non-stock item,243.7,131.6,aluminum
2114R,4x6 Jerith style 211 5/8 pkt,Non-stock item,159.26,86.0,aluminum
21154R,54x6 Jerith style 211 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2115R,5x6 Jerith style 211 5/8 pkt,Non-stock item,215.33,116.28,aluminum
2116R,6x6 Jerith style 211 5/8 pkt,Non-stock item,243.7,131.6,aluminum
24DRB,DELUX CANE BOLT 24 in nw38305-,Non-stock item,37.65,15.06,gate
250625,1/4 in DOUBLE EDGE ROUTER BIT,Non-stock item,46.48,18.59,other
250725,1/4 SINGLE EDGE ROUTER BIT,Non-stock item,39.38,15.75,other
25BP6,2-1/2 x 2-1/2 x6  BLANK POST A,Non-stock item,61.82,34.0,post
25BP7,2-1/2 x 2-1/2 x 7 BLANK POST A,Non-stock item,69.09,38.0,post
25BP8,2-1/2 x 2-1/2 x 8 BLANK POST A,Non-stock item,80.0,44.0,post
25CP6,2-1/2 x 2-1/2 x 6 CORNER POST,Non-stock item,61.82,34.0,post
25CP7,2-1/2 x 2-1/2 x 7 CORNER POST,Non-stock item,69.09,38.0,post
25CP8,2-1/2 x 2-1/2 x 8 CORNER POST,Non-stock item,80.0,44.0,post
25EP6,2-1/2 x 2-1/2 x 6 END POST ALU,Non-stock item,61.82,34.0,post
25EP7,2-1/2 x 2-1/2 x 7 END POST ALU,Non-stock item,69.09,38.0,post
25EP8,2-1/2 x 2-1/2 x 8 END POST ALU,Non-stock item,80.0,44.0,post
25HBP6,2-1/2 x 2-1/2 x 6 H. BLANK POS,Non-stock item,90.91,50.0,other
25HBP7,21/2 x 2-1/2 x 7 H. BLANK POST,Non-stock item,105.45,58.0,post
25HBP8,2-1/2 x 2-1/2 x 8 H. BLANK POS,Non-stock item,120.91,66.5,other
25HEP6,2-1/2 x 2-1/2 x 6 H. END POST,Non-stock item,90.91,50.0,post
25HEP7,2-1/2 x 2-1/2 x 7 H. END POST,Non-stock item,105.45,58.0,post
25HEP8,2-1/2 x 2-1/2 x 8 H. END POST,Non-stock item,120.91,66.5,post
25LP6,2-1/2 x 2-1/2 x 6 LINE POST AL,Non-stock item,61.82,34.0,post
25LP7,2-1/2 x 2-1/2 x 7 LINE POST AL,Non-stock item,69.09,38.0,post
25LP8,2-1/2 x 2-1/2 x 8 LINE POST AL,Non-stock item,80.0,44.0,post
2600-466,rear bearing assembly for 9150,Non-stock item,142.25,78.24,other
2600-904,DRIVE SHAFT ASSEMBLY 9150 DOOR,Non-stock item,190.84,72.52,other
2600-917,jab nut magnetic sub assembly,Non-stock item,30.73,16.9,other
262RG4,2 RAIL 4' GATE 2 x 6,Non-stock item,214.52,82.26,gate
262RG6,2 RAIL 6' GATE 2 x 6,Non-stock item,229.88,89.94,gate
262RG8,2 RAIL 8' GATE 2 x 6,Non-stock item,245.24,97.62,gate
263RG4,3 RAIL 4' GATE 2 x 6,Non-stock item,243.14,96.57,gate
263RG6,3 RAIL 6' GATE 2 x 6,Non-stock item,266.18,108.09,gate
263RG8,3 RAIL 8' GATE 2 x 6,Non-stock item,289.22,119.61,gate
264RG4,4 RAIL 4' GATE 2 x 6,Non-stock item,271.76,110.88,gate
264RG6,4 RAIL 6' GATE 2 x 6,Non-stock item,302.48,126.24,gate
264RG8,4 RAIL 8' GATE 2 x 6,Non-stock item,333.2,141.6,gate
266116108-01,"6""""x108"""" straight round struc",Non-stock item,436.8,218.4,other
2BP6,2 x 2 x 6 BLANK POST ALUMINUM,Non-stock item,40.44,22.24,post
2BP7,2 x 2 x 7 BLANK POST ALUMINUM,Non-stock item,43.0,23.65,post
2BP8,2 x 2 x 8 BLANK POST ALUMINUM,Non-stock item,46.98,25.84,post
2CP6,2 x 2 x 6 CORNER POST ALUMINUM,Non-stock item,40.44,22.24,post
2CP7,2 x 2 x 7 CORNER POST ALUMINUM,Non-stock item,43.0,23.65,post
2CP8,2 x 2 x 8 CORNER POST ALUMINUM,Non-stock item,46.98,25.84,post
2EP6,2 x 2 x 6 END POST ALUMINUM,Non-stock item,40.44,22.24,post
2EP7,2 x 2 x 7 END POST ALUMINUM,Non-stock item,43.0,23.65,post
2EP8,2 x 2 x 8 END POST ALUMINUM,Non-stock item,46.98,25.84,post
2HBP6,2 x 2 x 6 H. BLANK POST ALUMIN,Non-stock item,87.27,48.0,post
2HBP7,2 x 2 x 7 H. BLANK POST ALUMIN,Non-stock item,75.07,41.29,post
2HBP8,2 x 2 x 8 H. BLANK POST ALUMIN,Non-stock item,88.13,48.47,post
2HCC,2 HOLE CEDAR CORNER POST,Non-stock item,39.52,24.5,post
2HCE,2 HOLE CEDAR END POST,Non-stock item,39.52,24.5,post
2HCL,2 HOLE CEDAR LINE POST,Non-stock item,34.53,21.41,post
2HEP6,2 x 2 x 6 H. END POST ALUMINUM,Non-stock item,87.27,48.0,post
2HEP7,2 x 2 x 7 H. END POST ALUMINUM,Non-stock item,75.07,41.29,post
2HEP8,2 x 2 x 8 H. END POST ALUMINUM,Non-stock item,88.13,48.47,post
2HLC,2 HOLE LOCUST CORNER POST 6',Non-stock item,53.5,26.75,post
2HLE,2 HOLE LOCUST END POST 6',Non-stock item,49.52,24.76,post
2HLL,2 HOLE LOCUST LINE POST 6',Non-stock item,53.58,26.79,post
2LP6,2 x 2 x 6 LINE POST ALUMINUM,Non-stock item,40.44,22.24,post
2LP7,2 x 2 x 7 LINE POST ALUMINUM,Non-stock item,43.0,23.65,post
2LP8,2 x 2 x 8 LINE POST ALUMINUM,Non-stock item,46.98,25.84,post
3000W,1-1/2 x1-1/2x 36-1/2 COLONIAL,Non-stock item,12.4,3.72,other
3020,NEWEL POST 4 x 4 x 48 in,Non-stock item,62.47,34.36,post
3021,PORCH POST 4 x 4 x 108 3400 LB,Non-stock item,207.42,114.08,post
3022,PORCH POST 5 x 5 x 108 5000 LB,Non-stock item,236.36,130.0,post
30D,30 D FENCE SPIKES,Non-stock item,5.71,2.0,other
3100,1-1/2X1-1/2x36-1/2 pressure fo,Non-stock item,12.4,3.72,other
371LM,Powermaster single button 371L,Non-stock item,30.77,20.0,other
3BP6,3 X 3 X 6 BLANK POSTS ALUMINUM,Non-stock item,109.09,60.0,post
3BP7,3 X 3 X 7 BLANK POSTS ALUMINUM,Non-stock item,78.93,43.41,post
3BP8,3 X 3 X 8 BLANK POSTS ALUMINUM,Non-stock item,178.18,98.0,post
3BXL,EXT 3 BUTTON W/ LOCKOUT,Non-stock item,111.95,72.77,other
3EP6,3 X 3 X 6 END POSTS ALUMINUM,Non-stock item,109.09,60.0,post
3EP7,3 X 3 X 7 END POSTS ALUMINUM,Non-stock item,78.93,43.41,post
3EP8,3 X 3 X 8 END POSTS ALUMINUM,Non-stock item,178.18,98.0,post
3HCC,3 HOLE CEDAR CORNER POST,Non-stock item,39.18,24.29,post
3HCE,3 HOLE CEDAR END POST,Non-stock item,36.71,22.76,post
3HCL,3 HOLE CEDAR LINE POST,Non-stock item,35.6,22.07,post
3HLC,3 HOLE PRESSURE TREATED CORNER,Non-stock item,41.08,20.54,wood
3HLE,3 HOLE PRESSURE TREATED END PO,Non-stock item,40.64,20.32,wood
3HLL,3 HOLE PRESSURE TREATED LINE P,Non-stock item,38.3,19.15,wood
4004R,4x6 Jerith style 400 5/8 pkt 2,Non-stock item,0.0,0.0,aluminum
4005R,5x6 Jerith style 400 5/8 pkt,Non-stock item,0.0,0.0,aluminum
4006R,6x6 Jerith style 400 5/8 pkt,Non-stock item,0.0,0.0,aluminum
4014R,4x6 Jerith style 401 5/8 pkt 2,Non-stock item,0.0,0.0,aluminum
4015R,5x6 Jerith style 401 5/8 pkt,Non-stock item,0.0,0.0,aluminum
4016R,6x6 Jerith style 401 5/8 pkt,Non-stock item,0.0,0.0,aluminum
4024R,4x6 Jerith style 402 5/8 pkt 2,Non-stock item,0.0,0.0,aluminum
4025R,5x6 Jerith style 402 5/8 pkt,Non-stock item,0.0,0.0,aluminum
4026R,6x6 Jerith style 402 5/8 pkt,Non-stock item,0.0,0.0,aluminum
40D,40 D STOCKADE NAILS per lb.,Non-stock item,8.0,2.0,section_panel
41SP,4 SPRUCE PICKET ONLY,Non-stock item,7.2,1.8,section_panel
44,MONTPT SCAL GATE 6 x 3 OPEN,Non-stock item,220.35,88.58,gate
481C,4 x 8 CEDAR STOCKADE 3/4 #1,Non-stock item,153.89,109.26,section_panel
481CS,4 x 8 SCAL CEDAR STOCK. 3/4 #1,Non-stock item,0.0,0.0,wood
481CSP,4X8 CEDAR STOCKADE SPACED PICK,Non-stock item,54.79,38.9,section_panel
481S,4 x 8 SPRUCE STOCKADE 3/4 #1,Non-stock item,64.38,45.71,section_panel
481SS,4 x 8 SCAL SPRUCE STOCKADE #1,Non-stock item,0.0,0.0,section_panel
482C,4 x 8 CEDAR STOCKADE 3/4 #2,Non-stock item,0.0,0.0,section_panel
4CP6,CORNER POST 4 x 4 x 78 white c,Non-stock item,31.5,16.17,post
4CP8,CORNER POST 4 x 4 x 8 white co,Non-stock item,37.74,19.6,post
4CP9,CORNER POST 4 x 4 x 9 white co,Non-stock item,42.19,22.05,post
4EP6,END POST 4 x 4 x 78 white colo,Non-stock item,30.45,16.17,post
4EP8,END POST 4 x 4 x 8 white color,Non-stock item,36.69,19.6,post
4EP9,END POST 4 x 4 x 9 white color,Non-stock item,41.14,22.05,post
4HEP6,4 x 4 x 7 HEAVY POST ALUMINUM,Non-stock item,118.64,65.25,post
4HEP7,4 x 4 x 7 HEAVY POST ALUMINUM,Non-stock item,118.64,65.25,post
4HEP8,4 x 4 x 8 HEAVY POST ALUMINUM,Non-stock item,139.09,76.5,post
4HEP9,4 x 4 x 108 HEAVY POST ALUMINU,Non-stock item,139.09,76.5,post
4LP6,LINE POST 4 x 4 x 78 white col,Non-stock item,31.05,15.93,post
4LP8,LINE POST 4 x 4 x 8 white colo,Non-stock item,37.74,19.6,post
4LP9,LINE POST 4 x 4 x 9 white colo,Non-stock item,42.19,22.05,post
4RS,4' ECONO.ROSEDALE SPECIAL,Non-stock item,79.8,39.9,other
4SKIRT,4 in POST SKIRT 1069 a-w,Non-stock item,7.86,2.75,post
4SKIRTA,4 in POST SKIRT ALMOND #1070,Non-stock item,9.04,3.16,post
5250,SUBURBAN ARBOR W/O WINGS,Non-stock item,605.64,333.1,other
5300W,CLASSIC ARBOR,Non-stock item,1300.27,654.1,other
5350,PERGOLA 88W x 99H x 54D,Non-stock item,1081.78,533.93,other
5451,SUBURBAN MAILBOX AND POST,Non-stock item,259.09,142.5,post
5455,VICTORIAN SINGLE ROSE MAILBOX,Non-stock item,284.18,156.3,other
5456,VICTORIAN DOUBLE ROSE MAILBOX,Non-stock item,270.55,148.8,other
581C,5 x 8 CEDAR STOCKADE 3/4 #1,Non-stock item,225.35,160.0,section_panel
581S,5 x 8 SPRUCE STOCKADE 3/4 #1,Non-stock item,76.1,54.03,section_panel
5CP10,CORNER POST 5 x 5 x 10' white,Non-stock item,42.28,22.1,post
5CP10A,CORNER POST 5 x 5 x 10' almond,Non-stock item,46.3,24.31,post
5CP10AD,CORNER POST 5 x 5 x 10' adobe,Non-stock item,48.31,25.42,post
5CP12,CORNER POST 5 x 5 x 12' white,Non-stock item,55.14,29.17,post
5CP12A,CORNER POST 5 x 5 x 12' almond,Non-stock item,79.99,42.84,post
5CP12AD,CORNER POST 5 x 5 x 12' adobe,Non-stock item,87.78,47.12,post
5CP78,CORNER POST 5 x 5 x 6-1/2 whit,Non-stock item,28.22,14.37,post
5CP78A,CORNER POST 5 x 5 x 6-1/2 almo,Non-stock item,30.83,15.8,post
5CP78AD,CORNER POST 5 x 5 x 6-1/2 adob,Non-stock item,32.14,16.52,post
5CP78B,5X5X78 CORNER POST BLACK COLOR,Non-stock item,65.91,36.25,post
5CP78G,CORNER POST 5 x 5 x 6-1/2 gray,Non-stock item,30.83,15.8,post
5CP8,CORNER POST 5 x 5 x 8 white co,Non-stock item,38.26,19.89,post
5CP8A,CORNER POST 5 x 5 x 8 almond c,Non-stock item,41.88,21.88,post
5CP8AD,CORNER POST 5 x 5 x 8 adobe co,Non-stock item,43.69,22.87,post
5CP8G,CORNER POST 5 x 5 x 8 gray col,Non-stock item,41.88,21.88,post
5CP9,CORNER POST 5 x 5 x 9 white co,Non-stock item,38.26,19.89,post
5CP9A,CORNER POST 5 x 5 x 9 almond c,Non-stock item,41.88,21.88,post
5CP9AD,CORNER POST 5 x 5 x 9 adobe co,Non-stock item,43.69,22.87,post
5CP9B,5X5X9 CORNER POST BLACK COLOR,Non-stock item,86.96,47.83,post
5CP9G,CORNER POST 5 x 5 x 9 Gray col,Non-stock item,41.88,21.88,post
5EP10,END POST 5 x 5 x 10' white col,Non-stock item,41.23,22.1,post
5EP10A,END POST 5 x 5 x 10' almond co,Non-stock item,45.25,24.31,post
5EP10AD,END POST 5 x 5 x 10' adobe col,Non-stock item,47.26,25.42,post
5EP12,END POST 5 x 5 x 12' white col,Non-stock item,49.27,26.52,post
5EP12A,END POST 5 x 5 x 12' almond co,Non-stock item,54.09,29.17,post
5EP12AD,END POST 5 x 5 x 12' adobe col,Non-stock item,56.5,30.5,post
5EP78,END POST 5 x 5 x 6-1/2 white c,Non-stock item,27.17,14.37,post
5EP78A,END POST 5 x 5 x 6-1/2 almond,Non-stock item,29.78,15.8,post
5EP78AD,END POST 5 x 5 x 6-1/2 adobe c,Non-stock item,31.09,16.52,post
5EP78B,5X5X78 END POST BLACK COLOR,Non-stock item,65.91,36.25,post
5EP78G,END POST 5 x 5 x 6-1/2 Gray co,Non-stock item,29.78,15.8,post
5EP8,END POST 5 x 5 x 8 white color,Non-stock item,37.21,19.89,post
5EP8A,END POST 5 x 5 x 8 almond colo,Non-stock item,40.83,21.88,post
5EP8AD,END POST 5 x 5 x 8 adobe color,Non-stock item,42.64,22.87,post
5EP8G,END POST 5 x 5 x 8 Gray color,Non-stock item,40.83,21.88,post
5EP9,END POST 5 x 5 x 9 white color,Non-stock item,37.21,19.89,post
5EP9A,END POST 5 x 5 x 9 almond colo,Non-stock item,40.83,21.88,post
5EP9AD,END POST 5 x 5 x 9 adobe color,Non-stock item,42.64,22.87,post
5EP9B,5X5X9 END POST BLACK COLOR,Non-stock item,86.96,47.83,post
5EP9G,END POST 5 x 5 x 9 gray color,Non-stock item,40.83,21.88,post
5HCP10,HEAVY CORNER POST 5 x 5 x 10 w,Non-stock item,67.01,35.7,post
5HCP11,HEAVY CORNER POST 5 x 5 x 11 w,Non-stock item,73.5,39.27,post
5HCP12,HEAVY CORNER POST 5 x 5 x 12 w,Non-stock item,79.99,42.84,post
5HCP9,HEAVY CORNER POST 5 x 5 x 9 wh,Non-stock item,60.52,32.13,post
5HCP9A,HEAVY CORNER POST 5 x 5 x 9 al,Non-stock item,66.36,35.34,post
5HCP9AD,HEAVY CORNER POST 5 x 5 x 9 ad,Non-stock item,69.28,36.95,post
5HEP10,HEAVY END POST 5 x 5 x 10 whit,Non-stock item,65.96,35.7,post
5HEP11,HEAVY END POST 5 x 5 x 11 whit,Non-stock item,72.45,39.27,post
5HEP12,HEAVY END POST 5 x 5 x 12 whit,Non-stock item,78.94,42.84,post
5HEP78,HEAVY END POST 5 x 5 x 6-1/2 w,Non-stock item,43.24,23.21,post
5HEP78A,HEAVY END POST 5 x 5 x 6-1/2 a,Non-stock item,47.46,25.53,post
5HEP78AD,HEAVY END POST 5 x 5 x 6-1/2 a,Non-stock item,49.57,26.69,post
5HEP8,HEAVY END POST 5 x 5 x 8 white,Non-stock item,52.98,28.56,post
5HEP8A,HEAVY END POST 5 x 5 x 8 almon,Non-stock item,58.17,31.42,post
5HEP8AD,HEAVY END POST 5 x 5 x 8 adobe,Non-stock item,60.77,32.84,post
5HEP9,HEAVY END POST 5 x 5 x 9 white,Non-stock item,59.47,32.13,post
5HEP9A,HEAVY END POST 5 x 5 x 9 almon,Non-stock item,65.31,35.34,post
5HEP9AD,HEAVY END POST 5 x 5 x 9 adobe,Non-stock item,68.23,36.95,post
5HLP10,HEAVY LINE POST 5 x 5 x 10 whi,Non-stock item,67.01,35.7,post
5HLP10A,HEAVY LINE POST 5 x 5 x 10 alm,Non-stock item,73.5,39.27,post
5HLP10AD,HEAVY LINE POST 5 x 5 x 10 ado,Non-stock item,76.75,41.06,post
5HLP11,HEAVY LINE POST 5 x 5 x 11 whi,Non-stock item,73.5,39.27,post
5HLP12,HEAVY LINE POST 5 x 5 x 12 whi,Non-stock item,79.99,42.84,post
5HLP12A,HEAVY LINE POST 5 x 5 x 12 alm,Non-stock item,87.78,47.12,post
5HLP12AD,HEAVY LINE POST 5 x 5 x 12 ado,Non-stock item,91.67,49.27,post
5HLP9,HEAVY LINE POST 5 x 5 x 9 whit,Non-stock item,60.52,32.13,post
5HLP9A,HEAVY LINE POST 5 x 5 x 9 almo,Non-stock item,66.36,35.34,post
5HLP9AD,HEAVY LINE POST 5 x 5 x 9 adob,Non-stock item,69.28,36.95,post
5LP10,LINE POST 5 x 5 x 10 white col,Non-stock item,42.28,22.1,post
5LP10A,LINE POST 5 x 5 x 10 almond c,Non-stock item,46.3,24.31,post
5LP10AD,LINE POST 5 x 5 x 10 adobe col,Non-stock item,48.31,25.42,post
5LP12,LINE POST 5 x 5 x 12 white col,Non-stock item,50.32,26.52,post
5LP12A,LINE POST 5 x 5 x 12 almond co,Non-stock item,55.14,29.17,post
5LP12AD,LINE POST 5 x 5 x 12 adobe col,Non-stock item,57.55,30.5,post
5LP78,LINE POST 5 x 5 x 6-1/2 white,Non-stock item,28.22,14.37,post
5LP78A,LINE POST 5 x 5 x 6-1/2 almond,Non-stock item,30.83,15.8,post
5LP78AD,LINE POST 5 x 5 x 6-1/2 adobe,Non-stock item,32.14,16.52,post
5LP78B,5X5X78 END POST BLACK COLOR,Non-stock item,65.91,36.25,post
5LP78G,LINE POST 5 x 5 x 6-1/2 Gray c,Non-stock item,30.83,15.8,post
5LP8,LINE POST 5 x 5 x 8 white colo,Non-stock item,38.26,19.89,post
5LP8A,LINE POST 5 x 5 x 8 almond col,Non-stock item,41.88,21.88,post
5LP8AD,LINE POST 5 x 5 x 8 adobe colo,Non-stock item,43.69,22.87,post
5LP8G,LINE POST 5 x 5 x 8 Gray color,Non-stock item,37.46,19.45,post
5LP9,LINE POST 5 x 5 x 9 white colo,Non-stock item,38.26,19.89,post
5LP9A,LINE POST 5 x 5 x 9 almond col,Non-stock item,41.88,21.88,post
5LP9AD,LINE POST 5 x 5 x 9 adobe colo,Non-stock item,43.69,22.87,post
5LP9B,5X5X9 END POST BLACK COLOR,Non-stock item,86.96,47.83,post
5LP9g,LINE POST 5 x 5 x 9 gray color,Non-stock item,41.88,21.88,post
5SKIRT,5 in POST SKIRT #1070,Non-stock item,19.29,6.75,post
5WINCP78,WINDSOR CORNER POST 5 x 5 x 78,Non-stock item,32.12,14.59,post
5WINCP8,WINDSOR CORNER POST 5 x 5 x 8,Non-stock item,43.16,19.89,post
5WINEP78,WINDSOR END POST 5 x 5 x 78,Non-stock item,30.93,15.47,post
5WINEP8,WINDSOR END POST 5 x 5 x 8,Non-stock item,39.66,19.89,post
5WINHCP9,WINDSOR H.D. CORNER POST 5 x 5,Non-stock item,66.82,32.13,post
5WINHEP78,WINDSOR H.D. END POST 5 x 5 x,Non-stock item,48.24,24.99,post
5WINHEP8,WINDSOR H.D. END POST 5 x 5 x,Non-stock item,61.92,32.13,post
5WINHEP9,WINDSOR H.D. END POST 5 x 5 x,Non-stock item,62.62,32.13,post
5WINHLP9,WINDSOR H.D. LINE POST 5 x 5 x,Non-stock item,66.82,32.13,post
5WINLP78,WINDSOR LINE POST 5 x 5 x 78,Non-stock item,33.73,15.47,post
5WINLP8,WINDSOR LINE POST 5 x 5 x 8,Non-stock item,43.16,19.89,post
6015,dac gate protector,Non-stock item,30.0,16.5,gate
6035S36,36 in STD PANIC BAR no lock bo,Non-stock item,543.64,299.0,other
6035S48,48 in STD PANIC BAR no lock bo,Non-stock item,543.64,299.0,other
6045S36,36 in SUPERIOR PANIC BAR with,Non-stock item,909.09,500.0,other
6045S48,48 in SUPERIOR PANIC BAR with,Non-stock item,909.09,500.0,other
6047S36,36 in SUPERIOR PANIC BAR with,Non-stock item,1027.27,565.0,other
6047S48,48 in SUPERIOR PANIC BAR with,Non-stock item,1027.27,565.0,other
61SP,6 SPRUCE PICKET ONLY,Non-stock item,3.6,1.8,section_panel
681C,6 x 8 CEDAR STOCKADE 3/4 #1,Non-stock item,242.42,160.0,section_panel
681S,6 x 8 SPRUCE STOCKADE 3/4 #1,Non-stock item,104.47,68.95,section_panel
