"ItemID","Description","ItemClass","Category","Material","Style","Color","HeightFt","WidthFt","Retail","Cost"
"ELB4R","4 x 6 Elba resi. Alum 5/8 4in","Non-stock item","Other","Aluminum","","","4","6","159.26","86"
"ELB546CG","54 x 6 Elba Guardian Comm Alum","Non-stock item","Other","Aluminum","","","4.5","6","231.48","125"
"ELB548CG","54 x 8 Elba Guardian Comm Alum","Non-stock item","Other","Aluminum","","","4.5","8","277.78","150"
"ELB54AG","54 x 8 Areo guard 2 rail 1 x 5","Non-stock item","Rail","","","","4.5","8","0","0"
"ELB54R","54X6 Elba resi guard. alumn 5/","Non-stock item","Other","Aluminum","","","4.5","6","215.33","116.28"
"ELB56C","5 x 6 Elba Comm Alum 3/4 x 3/4","Non-stock item","Other","Aluminum","","","5","6","203.7","110"
"ELB58C","5 x 8 Elba Comm Alum 3/4 x 3/4","Non-stock item","Other","Aluminum","","","5","8","277.78","150"
"ELB5A","5 x 8 elba areo alum 1 x 5/8 p","Non-stock item","Other","Aluminum","","","5","8","0","0"
"ELB5R","5 x 6 Elba resi. Alum 5/8 4in","Non-stock item","Other","Aluminum","","","5","6","215.33","116.28"
"ELB66C","6 x 6 Elba Comm Alum 3/4 x 3/4","Non-stock item","Other","Aluminum","","","6","6","162.96","88"
"ELB68C","6 x 8 Elba Comm Alum 3/4 x 3/4","Non-stock item","Other","Aluminum","","","6","8","216.67","117"
"ELB6A","6 x 8 elba areo alum 1 x 5/8 p","Non-stock item","Other","Aluminum","","","6","8","0","0"
"ELB6R","5 x 6 Elba resi. Alum 5/8 4in","Non-stock item","Other","Aluminum","","","5","6","243.7","131.6"
"ELWD4","4' ELWOOD CUSTOM WOOD FENCE","Non-stock item","Other","Wood","","","4","4","288.71","202.1"
"ELWD5","5' ELWOOD CUSTOM WOOD FENCE","Non-stock item","Other","Wood","","","5","5","288.71","202.1"
"ELWD6","6' ELWOOD CUSTOM WOOD FENCE","Non-stock item","Other","Wood","","","6","6","288.71","202.1"
"EMX-P44","Photocell with Battery powered","Non-stock item","Other","","","","","","140","91"
"EMXUL325","EMX IRB THROUGHBEAM UL 325 COD","Non-stock item","Other","","","","","","346.15","225"
"EP1750","END PLUG 1-3/4 x 3-1/2 PVC","Non-stock item","End Post","PVC/Vinyl","","","4","3","3.75","0.3"
"EP235","END PLUG INTERNAL 2 x 3 1/2 PV","Non-stock item","End Post","","","","","3","2.05","0.45"
"EP26","END PLUG INTERNAL 2 x 6 PVC","Non-stock item","End Post","PVC/Vinyl","","","","6","2.18","0.48"
"EWTS200","WOOD TO STEEL - END - 2in","Non-stock item","Other","Wood","","","","","6.8","2.72"
"EWTS250","WOOD TO STEEL - END - 2-1/2in","Non-stock item","Other","Wood","","","","","7.6","3.04"
"EWTS300","3 in END WOOD TO STEEL","Non-stock item","Other","Wood","","","","","8","3.2"
"exclean","Extreme cleaner","Non-stock item","Other","","","","","","16.05","10.43"
"EXET46","EXETER 4 x 6 SECTION","Non-stock item","Section","","Exeter","","4","6","173.64","95.5"
"EXET56","EXETER 5 x 6 SECTION","Non-stock item","Section","","Exeter","","5","6","184.35","101.39"
"EXET66","EXETER 6 x 6 SECTION","Non-stock item","Section","","Exeter","","6","6","195.18","107.35"
"EXETG43","EXETER GATE 4 x 3 OPEN","Non-stock item","Gate","","Exeter","","4","3","230.66","115.33"
"EXETG44","EXETER GATE 4 x 4 OPEN","Non-stock item","Gate","","Exeter","","4","4","250","125"
"EXETG45","EXETER GATE 4 x 5 OPEN","Non-stock item","Gate","","Exeter","","4","5","272","136"
"EXETG53","EXETER GATE 5 x 3 OPEN","Non-stock item","Gate","","Exeter","","5","3","244","122"
"EXETG54","EXETER GATE 5 x 4 OPEN","Non-stock item","Gate","","Exeter","","5","4","262","131"
"EXETG55","EXETER GATE 5 x 5 OPEN","Non-stock item","Gate","","Exeter","","5","5","290","145"
"EXETG63","EXETER GATE 6 x 3 OPEN","Non-stock item","Gate","","Exeter","","6","3","260","130"
"EXETG64","EXETER GATE 6 x 4 OPEN","Non-stock item","Gate","","Exeter","","6","4","280","140"
"EXETG65","EXETER GATE 6 x 5 OPEN","Non-stock item","Gate","","Exeter","","6","5","308","154"
"EZTRACK","Alum internal track 30' 6 In #","Non-stock item","Other","Aluminum","","","","","813.95","350"
"FAIRFIELD","Fairfield II arbor","Non-stock item","Other","","","","","","857.73","471.75"
"FCU","FINANCE CHARGES","Non-stock item","Other","","","","","","0","0"
"FENCESERT","FENCESERT DECORATIVE ALUMINUM","Non-stock item","Other","Aluminum","","","","","225.46","159.99"
"finance charge","","Non-stock item","Other","","","","","","0","0"
"FJ248C","2 x 4 x 8 CEDAR FINGER JOINTED","Non-stock item","Other","Wood","","","4","8","17.34","8.67"
"FL130B","BFT PHOTO CELL SMALL BLACK NON","Non-stock item","Other","","","Black","","","104.62","68"
"FL138","PRESSED STEEL GATE FORK 1-3/8","Non-stock item","Gate","","","","","","9.05","1.81"
"FL158","P/S GATE FORK 1-5/8","Non-stock item","Gate","","","","","","9.15","1.83"
"FL200","PRESSED STEEL GATE FORK 2 in.","Non-stock item","Gate","","","","","","8","1.6"
"FL250","PRESSED STEEL GATE FORK 2-1/2","Non-stock item","Gate","","","","","","9.35","1.87"
"FL300","PRESSED STEEL GATE FORK 3 in.","Non-stock item","Gate","","","","","","11.6","2.32"
"FL400","PRESSED STEEL GATE FORK 4 in.","Non-stock item","Gate","","","","","","13.4","2.68"
"FLAT3","3 FLATBUSH CUSTOM WOOD","Non-stock item","Other","Wood","","","","","126.8","88.76"
"FLAT35","42 in FLATBUSH CUSTOM WOOD","Non-stock item","Other","Wood","","","","","138","96.6"
"FLAT4","4 FLATBUSH CUSTOM WOOD","Non-stock item","Other","Wood","","","","","138","96.6"
"FLC138","1-3/8 x 1-3/8 FORK LATCH COMPL","Non-stock item","Latch","","","","8","","23.55","4.71"
"FLC152","2 x 1-5/8 FORK LATCH COMPLETE","Non-stock item","Latch","","","","","","20.3","4.06"
"FLC1525","2-1/2 x 1-5/8 FORK LATCH COMPL","Non-stock item","Latch","","","","","","21.65","4.33"
"FLC158","1-5/8 x 1-3/8 FORK LATCH COMPL","Non-stock item","Latch","","","","8","","21.45","4.29"
"FLC200","2 x 1-3/8 FORK LATCH COMPLETE","Non-stock item","Latch","","","","","","22.5","4.5"
"FLC250","2-1/2 x 1-3/8 FORK LATCH COMPL","Non-stock item","Latch","","","","","","23.85","4.77"
"FP325","FENCE POST 3-1/4 x 3-1/4 PVC","Non-stock item","Other","PVC/Vinyl","","","4","3","2.87","1.58"
"FP325A","FENCE POST 3-1/4 x 3-1/4 PVC A","Non-stock item","Other","PVC/Vinyl","","","4","3","3.16","1.74"
"FP325G","FENCE POST 3-1/4 x 3-1/4 PVC G","Non-stock item","Other","PVC/Vinyl","","","4","3","3.16","1.74"
"FP350","FENCE POST 3-1/2 x 3-1/2 PVC .","Non-stock item","Other","PVC/Vinyl","","","","3","3.42","1.88"
"FP350A","FENCE POST 3-1/2 x 3-1/2 PVC A","Non-stock item","Other","PVC/Vinyl","","","","3","3.76","2.07"
"FP350G","FENCE POST 3-1/2 x 3-1/2 PVC G","Non-stock item","Other","PVC/Vinyl","","","","3","3.76","2.07"
"FP44","FENCE POST 4 x 4 PVC .165","Non-stock item","Other","PVC/Vinyl","","","4","4","4.45","2.45"
"FP44A","FENCE POST 4 x 4 PVC ALM","Non-stock item","Other","PVC/Vinyl","","Almond","4","4","4.9","2.7"
"FP44G","FENCE POST 4 x 4 PVC GRAY","Non-stock item","Other","PVC/Vinyl","","Gray","4","4","4.9","2.7"
"FP55","5 x 5 FENCE POST PVC","Non-stock item","Other","PVC/Vinyl","","","5","5","4.02","2.21"
"FP55A","5 x 5 FENCE POST PVC almond co","Non-stock item","Other","PVC/Vinyl","","Almond","5","5","4.42","2.43"
"FP55AD","5 x 5 FENCE POST PVC adobe col","Non-stock item","Other","PVC/Vinyl","","Adobe","5","5","4.62","2.54"
"FP55G","5 x 5 FENCE POST PVC gray colo","Non-stock item","Other","PVC/Vinyl","","Gray","5","5","4.42","2.43"
"FP55H","5 x 5 HEAVY FENCE POST PVC whi","Non-stock item","Other","PVC/Vinyl","","","5","5","6.49","3.57"
"FP55HA","5 x 5 HEAVY FENCE POST PVC alm","Non-stock item","Other","PVC/Vinyl","","Almond","5","5","7.14","3.93"
"FP55HAD","5 x 5 HEAVY FENCE POST PVC ado","Non-stock item","Other","PVC/Vinyl","","","5","5","0","4.11"
"FP55HG","5 x 5 HEAVY FENCE POST PVC GRA","Non-stock item","Other","PVC/Vinyl","","","5","5","7.14","3.93"
"FP55X","5X5 Fence Post Pvc co-x","Non-stock item","Other","PVC/Vinyl","","","5","5","3.91","2.15"
"FREIGHT","FREIGHT","Charge item","Other","","","","","","0","0"
"FT13","#13 Fence ties Bag 9ga x 6-1/2","Non-stock item","Other","","","","","6","17.93","5.38"
"FT14","9ga. X 14in straight fence tie","Non-stock item","Other","","","","","","46.27","13.88"
"FT146","6ga. X 14in straight fence tie","Non-stock item","Other","","","","","","37.5","11.25"
"FT16","#16 Fence Ties bag 9ga x 8-1/4","Non-stock item","Other","","","","","8","20.4","6.12"
"FT23","#23 Fence Ties Bag 6ga x 6-1/2","Non-stock item","Other","","","","","6","32.17","9.65"
"FT26","#26 Fence Ties Bag 6ga x 8-1/4","Non-stock item","Other","","","","","8","41.07","12.32"
"FW100","100' ROLL FENCE WEAVE","Non-stock item","Other","","","","","","0","0"
"FW250","250' ROLL FENCE WEAVE","Non-stock item","Other","","","","","","94.5","47.25"
"G138106","1-3/8  x 10'6"""" SS15 PIPE GALV","Non-stock item","Gate","Chain Link","","","8","10","19.51","8.59"
"G13821","1-3/8  x 21 SS15 PIPE GALV. .0","Non-stock item","Gate","Chain Link","","","8","","34.71","17.01"
"G138F","1-3/8 CUT SS15 .072 - PER FT","Non-stock item","Gate","","","","","","1.84","0.81"
"G158106","1-5/8 x 10'6"""" SS15 PIPE GALV.","Non-stock item","Gate","Chain Link","","","8","10","24.81","10.92"
"G15821","1-5/8 x 21 SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","8","","44.14","21.63"
"G15824","1-5/8 x 24 SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","8","","50.45","24.72"
"G1586","1-5/8 x 6 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","8","6","14.05","6.18"
"G1587","1-5/8 x 7 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","8","","16.39","7.21"
"G1588","1-5/8 x 8 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","8","8","18.73","8.24"
"G158F","1-5/8 CUT SS15 .074 - PER FT","Non-stock item","Gate","","","","","","2.34","1.03"
"G2106","2 x 10'6"""" SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","","10","29.11","12.81"
"G221","2 x 21 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","","","52.29","25.62"
"G224","2 x 24 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","","","59.76","29.28"
"G25106","2-1/2 x 10' 6  SS15 PIPE GALV.","Non-stock item","Gate","Chain Link","","","","10","34.6","15.23"
"G2512","2-1/2 x 12'  SS15 PIPE GALV. .","Non-stock item","Gate","Chain Link","","","","12","39.55","17.4"
"G2521","2-1/2  x  21' SS15 GALV. PIPE","Non-stock item","Gate","Chain Link","","","","","62.14","30.45"
"G2524","2-1/2  x  24' SS15 GALV. PIPE","Non-stock item","Gate","Chain Link","","","","4","71.02","34.8"
"G256","2-1/2 x 6  SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","","6","19.77","8.7"
"G257","2-1/2 x 7  SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","","","23.07","10.15"
"G258","2-1/2 x 8  SS15 PIPE GALV. .07","Non-stock item","Gate","Chain Link","","","","8","26.36","11.6"
"G25F","2-1/2 CUT SS15 .076 - PER FT","Non-stock item","Gate","","","","","","3.3","1.45"
"G26","2 x 6 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","","6","16.64","7.32"
"G27","2 x 7 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","","","19.41","8.54"
"G28","2 x 8 SS15 PIPE GALV. .074","Non-stock item","Gate","Chain Link","","","","8","22.18","9.76"
"G2F","2 in. CUT SS15 .072 - PER FT","Non-stock item","Other","","","","","","2.77","1.22"
"GA400","4 in GUIDE ASSEMBLY FOR OVERHE","Non-stock item","Other","","","","","","63.64","35"
"GA658","6-5/8 in GUIDE ASSEMBLY FOR OV","Non-stock item","Other","","","","","","120.73","66.4"
"GAL19SQ","1X9 GA. GALV WIRE PER FOOT","Non-stock item","Other","Chain Link","","","","","4.68","1.87"
"GAL2116","6' 2-3/8  x  11-1/2ga. MESH","Non-stock item","Other","Chain Link","","","8","6","4.56","2.28"
"GAL2610","Galvanized Wire Per Foot 2  x","Non-stock item","Other","Chain Link","","","","","32.65","16"
"GAL2612","Galvanized Wire Per Foot 2  x","Non-stock item","Other","Chain Link","","","","","39.18","19.2"
"GAL264","Galvanized Wire Per Foot 2  x","Non-stock item","Other","Chain Link","","","","","13.06","6.4"
"GAL265","Galvanized Wire Per Foot 2  x","Non-stock item","Other","Chain Link","","","","","16.33","8"
"GAL266","Galvanized Wire Per Foot 2 x 6","Non-stock item","Other","Chain Link","","","","6","19.59","9.6"
"GAL268","Galvanized Wire Per Foot 2 x 6","Non-stock item","Other","Chain Link","","","","6","26.12","12.8"
"GAL2910","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","18","7.2"
"GAL291050","Galvanized Wire 2 x 9ga. x 10","Non-stock item","Other","Chain Link","","","","10","631.58","360"
"GAL2912","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","21.6","8.64"
"GAL291250","Galvanized Wire 2 x 9ga. x 12","Non-stock item","Other","Chain Link","","","","12","757.89","432"
"GAL293","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","5.4","2.16"
"GAL2935","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","6.3","2.52"
"GAL29350","Galvanized Wire 2  x  9ga.  x","Non-stock item","Other","Chain Link","","","","","189.47","108"
"GAL293550","Galvanized Wire  2 x 9ga. x 3-","Non-stock item","Other","Chain Link","","","","3","221.05","126"
"GAL294","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","7.2","2.88"
"GAL29450","Galvanized Wire 2 x 9ga. x 4 x","Non-stock item","Other","Chain Link","","","4","4","252.63","144"
"GAL295","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","9","3.6"
"GAL29550","Galvanized Wire 2 x 9ga. x 5 x","Non-stock item","Other","Chain Link","","","5","5","315.79","180"
"GAL296","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","10.8","4.32"
"GAL29650","Galvanized Wire 2 x 9ga. x 6 x","Non-stock item","Other","Chain Link","","","6","6","378.95","216"
"GAL297","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","12.6","5.04"
"GAL29750","Galvanized Wire 2 x 9ga. x 7 x","Non-stock item","Other","Chain Link","","","7","","442.11","252"
"GAL298","Galvanized Wire Per Foot 2 x 9","Non-stock item","Other","Chain Link","","","","","14.4","5.76"
"GAL29850","Galvanized Wire 2 x 9ga. x 8 x","Non-stock item","Other","Chain Link","","","8","8","505.26","288"
"GAL29SQ","2X9 GA. GALV WIRE PER FOOT","Non-stock item","Other","Chain Link","","","","","1.8","0.72"
"galvpost10","galvanized sign post 10' used","Non-stock item","Other","Chain Link","","","","10","34.29","24"
"galvpost3","galvanized sign post 3' used w","Non-stock item","Other","Chain Link","","","3","3","12.36","8.65"
"GATE LATCH","","Non-stock item","Gate","","","","","","0","0"
"GC138","1-3/8 GATE CLIP","Non-stock item","Gate","","","","","","0.96","0.43"
"GCT","GATE CLIP TOOL","Non-stock item","Gate","","","","","","44.1","22.05"
"GEO34","GEORGETOWN 3 x 4 SECTION","Non-stock item","Section","","Georgetown","","3","4","102.51","56.38"
"GEO354","GEORGETOWN 42 x 4 SECTION","Non-stock item","Section","","Georgetown","","","4","112.78","62.03"
"GEO356","GEORGETOWN 42 x 6 SECTION","Non-stock item","Section","","Georgetown","","","6","173.89","95.64"
"GEO36","GEORGETOWN 3 x 6 SECTION","Non-stock item","Section","","Georgetown","","3","6","157.71","86.74"
"GEO44","GEORGETOWN 4 x 4 SECTION","Non-stock item","Section","","Georgetown","","4","4","112.8","62.04"
"GEO46","GEORGETOWN 4 x 6 SECTION","Non-stock item","Section","","Georgetown","","4","6","173.95","95.67"
"GEOG33","GEORGETOWN GATE 3 x 3 OPEN","Non-stock item","Gate","","Georgetown","","3","3","168.22","84.11"
"GEOG34","GEORGETOWN GATE 3 x 4 OPEN","Non-stock item","Gate","","Georgetown","","3","4","193.12","96.56"
"GEOG35","GEORGETOWN GATE 3 x 5 OPEN","Non-stock item","Gate","","Georgetown","","3","5","218","109"
"GEOG353","GEORGETOWN GATE 42 x 3 OPEN","Non-stock item","Gate","","Georgetown","","","3","179.2","89.6"
"GEOG354","GEORGETOWN GATE 42 x 4 OPEN","Non-stock item","Gate","","Georgetown","","","4","205.38","102.69"
"GEOG355","GEORGETOWN GATE 42 x 5 OPEN","Non-stock item","Gate","","Georgetown","","","5","233.5","116.75"
"GEOG43","GEORGETOWN GATE 4 x 3 OPEN","Non-stock item","Gate","","Georgetown","","4","3","181.76","90.88"
"GEOG44","GEORGETOWN GATE 4 x 4 OPEN","Non-stock item","Gate","","Georgetown","","4","4","207.94","103.97"
"GEOG45","GEORGETOWN GATE 4 x 5 OPEN","Non-stock item","Gate","","Georgetown","","4","5","236.06","118.03"
"GG10D","10' chainlink fence complete w","Non-stock item","Gate","Chain Link","","","","10","26.1","10.45"
"GG12D","12' chainlink fence complete w","Non-stock item","Gate","Chain Link","","","","12","30.79","12.36"
"GG4A","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","12.93","5.21"
"GG4B","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","13.16","5.33"
"GG4C","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","12.18","4.9"
"GG4D","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","12.75","5.01"
"GG5A","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","14.99","6.04"
"GG5B","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","15.27","6.18"
"GG5C","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","14.66","5.82"
"GG5D","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","15.29","6.05"
"GG6A","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","17.05","6.88"
"GG6B","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","17.37","7.03"
"GG6C","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","16.77","6.68"
"GG6D","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","17.45","6.93"
"GG7D","7' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","7","","20.16","8.05"
"GG8D","8' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","8","8","21.96","8.77"
"GH200","GRAVITY HINGE 2 in","Non-stock item","Hinge","","","","","","30.65","12.26"
"GH250","GRAVITY HINGE 2-1/2 in","Non-stock item","Hinge","","","","","","30.65","12.26"
"GHB","MALLAEBLE GATE HOLD BACK","Non-stock item","Gate","","","","","","19.05","11.43"
"GL10","HARVEY GATE LATCH with bands","Non-stock item","Gate","","","","","","17","8.5"
"GL104","#104 W/CORD UNIVERSAL GATE LAT","Non-stock item","Gate","","","","","","10.63","4.25"
"GL114","DELUX UNIVERSAL WOOD GATE LATC","Non-stock item","Gate","Wood","","","","","14.98","5.99"
"GL231","231 H. DUTY GATE LATCH","Non-stock item","Gate","","","","","","18.88","7.55"
"GLASS3","42"""" High x 36"""" Glass Railing","Non-stock item","Rail","","","","","3","317","118.5"
"GLASS4","42"""" High x 48"""" Glass Railing","Non-stock item","Rail","","","","","4","385.26","152.63"
"GLASS5","42"""" High x 60"""" Glass Railing","Non-stock item","Rail","","","","","6","429.2","174.6"
"GLASS6","42"""" High x 72"""" Glass Railing","Non-stock item","Rail","","","","","","465.04","192.52"
"GLIDER","GLIDER","Non-stock item","Other","","","","","","718.18","395"
"GLUE","GLUE CAPS","Non-stock item","Other","","","","","","0.72","0.36"
"GMATE","gate mate gate latch zinc","Non-stock item","Gate","","","","","","0","0"
"GOLDBAR","Gold breakaway bar with screws","Non-stock item","Other","","","","","","10.5","7.35"
"GOOSE","DIRECT BURIAL GOOSE NECK 2"""" S","Non-stock item","Other","","","","","","111.38","72.4"
"GR126","GUARDRAIL 12'6 x 12 GA","Non-stock item","Rail","","","","6","12","246.86","125.9"
"GRB15","1-1/2 x 5/8 guardrail bolt wit","Non-stock item","Rail","","","","","5","3.82","1.95"
"GRB2","2 x 5/8 guardrail bolt with nu","Non-stock item","Rail","","","","","5","4.9","2.5"
"GRBUFF","guard rail 12ga small buffer t","Non-stock item","Rail","","","","","","162.35","82.8"
"GRF","GUARD RAIL FLAIR END","Non-stock item","Rail","","","","","","124.24","63.36"
"GRFWR","FULL ROUND FLAIR DOUBLE WRAP","Non-stock item","Other","","","","","","162.16","82.7"
"GRN58","5/8 GUARDRAIL NUT ONLY","Non-stock item","Rail","","","","","","1.88","0.96"
"GRWASH","WASHERS FOR GUARD RAIL","Non-stock item","Rail","","","","","","2.45","1.25"
"GRWR","GUARD RAIL FULL WRAP","Non-stock item","Rail","","","","","","155.29","79.2"
"GS158","GALV. DRY WALL SCREW 1-5/8 IN.","Non-stock item","Other","Chain Link","","","","","4.42","2.21"
"GS18","H.D. 18 in. GATE SCROLL","Non-stock item","Gate","","","","","","6.91","3.11"
"GS24","H.D. 24 in. GATE SCROLL","Non-stock item","Gate","","","","","","14.44","6.5"
"GS250","GALV. DRY WALL SCREW 2-1/2 in.","Non-stock item","Other","Chain Link","","","","","3","1.5"
"GS300","GALV. DRY WALL SCREW 3 in.","Non-stock item","Other","Chain Link","","","","","5","1.5"
"GS350","GALV. DRY WALL SCREW 3-1/2 IN.","Non-stock item","Other","Chain Link","","","","","7.37","2.21"
"GV10D","10' chainlink fence complete w","Non-stock item","Other","Chain Link","","","","10","21.85","8.75"
"GV12D","12' chainlink fence complete w","Non-stock item","Other","Chain Link","","","","12","25.69","10.32"
"GV4A","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","11.23","4.53"
"GV4B","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","11.46","4.65"
"GV4C","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","10.48","4.22"
"GV4D","4' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","4","4","11.05","4.33"
"GV5A","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","12.86","5.19"
"GV5B","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","13.14","5.33"
"GV5C","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","12.54","4.97"
"GV5D","5' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","5","5","13.16","5.2"
"GV6A","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","14.5","5.86"
"GV6B","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","14.82","6.01"
"GV6C","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","14.22","5.66"
"GV6D","6' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","6","6","14.9","5.91"
"GV7D","7' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","7","","17.18","6.86"
"GV8D","8' chainlink fence complete wi","Non-stock item","Other","Chain Link","","","8","8","18.56","7.41"
"GW4","4 in GRINDING WHEEL","Non-stock item","Other","","","","","","0","0"
"GW7","7 in GRINDING WHEEL","Non-stock item","Other","","","","","","0","0"
"GWG43","4 x 36 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","4","3","101.15","14.45"
"GWG43S","4 x 36 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","4","3","234.43","33.49"
"GWG44","4 x 48 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","4","4","112.49","16.07"
"GWG442","4 x 42 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","4","4","106.82","15.26"
"GWG442S","4 x 42 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","4","4","250.18","35.74"
"GWG44S","4 x 48 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","4","4","265.93","37.99"
"GWG53","5 x 36 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","5","3","107.73","15.39"
"GWG53S","5 x 36 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","5","3","274.61","39.23"
"GWG54","5 x 48 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","5","4","124.74","17.82"
"GWG542","5 x 42 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","5","4","116.24","16.61"
"GWG542S","5 x 42 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","5","4","295.72","42.25"
"GWG54S","5 x 48 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","5","4","316.82","45.26"
"GWG63","6 x 36 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","6","3","119.07","17.01"
"GWG63S","6 x 36 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","6","3","323.47","46.21"
"GWG64","6 x 48 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","6","4","136.08","19.44"
"GWG642","6 x 42 WALK GATE GALV. F/O","Non-stock item","Gate","Chain Link","","","6","4","127.58","18.23"
"GWG642S","6 x 42 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","6","4","347.1","49.59"
"GWG64S","6 x 48 WALK GATE GALV. STRUNG","Non-stock item","Gate","Chain Link","","","6","4","370.72","52.96"
"HAM4A","HAMPTON 4 x 8 scallop sec. whi","Non-stock item","Section","PVC/Vinyl","Hampton","","4","8","256.26","127.58"
"HAM4AA","HAMPTON 4 x 8 scallop sec almo","Non-stock item","Section","PVC/Vinyl","Hampton","Almond","4","8","342.18","173.98"
"HAM4B","HAMPTON STEPPED 4 x 8 sec whit","Non-stock item","Section","PVC/Vinyl","Hampton","","4","8","256.26","127.58"
"HAM4BA","HAMPTON STEPPED 4 x 8 sec almo","Non-stock item","Section","PVC/Vinyl","Hampton","Almond","4","8","342.18","173.98"
"HAM4C","HAMPTON STRAIGHT 4 x 8 sec whi","Non-stock item","Section","PVC/Vinyl","Hampton","","4","8","256.26","127.58"
"HAM4CA","HAMPTON STRAIGHT 4 x 8 sec. al","Non-stock item","Section","PVC/Vinyl","Hampton","","4","8","342.18","173.98"
"HAM5A","HAMPTON 5 x 8 scallop sec. whi","Non-stock item","Section","PVC/Vinyl","Hampton","","5","8","285.19","143.2"
"HAM5AA","HAMPTON 5 x 8 scallop sec. alm","Non-stock item","Section","PVC/Vinyl","Hampton","Almond","5","8","309.85","156.52"
"HAM5B","HAMPTON STEPPED 5 x 8 sec whit","Non-stock item","Section","PVC/Vinyl","Hampton","","5","8","285.19","143.2"
"HAM5BA","HAMPTON STEPPED 5 x 8 sec almo","Non-stock item","Section","PVC/Vinyl","Hampton","Almond","5","8","309.85","156.52"
